ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol
ENSMUSG00000000001.4_Gnai3,2513.0255827946685,0.7602230957077776,0.19409697382574745,3.916717920549733,8.976267536388664e-05,0.0007375187558361085,Gnai3
ENSMUSG00000000028.14_Cdc45,59.51905237255781,-0.896209850589398,0.3370717479768999,-2.6588103451815153,0.007841709172891786,0.030507278273694014,Cdc45
ENSMUSG00000000037.16_Scml2,4.450676712687176,0.3086453612838301,1.0797336731692857,0.2858532330272516,0.7749905343465016,0.8708172254550216,Scml2
ENSMUSG00000000056.7_Narf,341.9066868303811,-1.1613942674305668,0.26211857328830457,-4.430797302384017,9.388530916924045e-06,0.00010112522107035102,Narf
ENSMUSG00000000058.6_Cav2,8382.150868651916,-0.7540749032238011,0.20110582906592267,-3.7496421994641174,0.00017708705759414357,0.0013306498210544756,Cav2
ENSMUSG00000000078.7_Klf6,11611.627659025351,0.6011999860224295,0.1716694732012644,3.5020785863167743,0.0004616434326617839,0.0029823439961589324,Klf6
ENSMUSG00000000085.16_Scmh1,824.9910513437742,-0.22890017924454042,0.18239267377199506,-1.2549856006315436,0.2094839872378208,0.3767275110537905,Scmh1
ENSMUSG00000000088.7_Cox5a,3169.853098561204,0.25667144505236983,0.13671372189344624,1.8774373303392167,0.06045817912341739,0.15129831851142742,Cox5a
ENSMUSG00000000093.6_Tbx2,44.785484284054235,-0.9241127874671029,0.47629900118957724,-1.9401946784668693,0.0523560350084152,0.13552630792792578,Tbx2
ENSMUSG00000000094.12_Tbx4,138.1827568994893,-0.8464984098623629,0.2985484466712542,-2.835380385664784,0.0045771151491451134,0.019646997368821157,Tbx4
ENSMUSG00000000126.11_Wnt9a,20.51148398135861,0.19830950929426472,0.5334176654838838,0.37177154437577636,0.7100629518366792,0.8284464354861458,Wnt9a
ENSMUSG00000000127.14_Fer,558.6258689929498,0.01062499885275721,0.14448664837286693,0.073536198482077,0.9413794398139389,0.9680971320257346,Fer
ENSMUSG00000000131.15_Xpo6,675.6888621667683,-0.31802878830585823,0.2779486371713106,-1.1441998476497104,0.2525407662916035,0.42962440547790715,Xpo6
ENSMUSG00000000134.17_Tfe3,897.4089759435585,0.552587882059973,0.1892391707328768,2.9200502196238545,0.0034997498335405143,0.01585967219176392,Tfe3
ENSMUSG00000000142.15_Axin2,779.4623050684668,-1.6669832143709704,0.5163818891087839,-3.2281984506621506,0.001245725205986375,0.006793582137150828,Axin2
ENSMUSG00000000148.17_Brat1,439.11213688894804,-0.3280976684018676,0.1452186400116338,-2.2593357738068813,0.023862506236010668,0.07381650437715748,Brat1
ENSMUSG00000000149.10_Gna12,497.9776406190703,0.05875268687870039,0.2243205463614453,0.2619139790433321,0.7933877620134251,0.8814288670989431,Gna12
ENSMUSG00000000154.16_Slc22a18,66.15014947775651,-0.6736425185335791,0.33150368889930726,-2.0320815155037235,0.042145404347134055,0.11508094013753142,Slc22a18
ENSMUSG00000000159.15_Igsf5,344.2417739326241,-0.3260549788174719,0.1908430341922174,-1.7084981917080024,0.08754394163006667,0.19934030912029174,Igsf5
ENSMUSG00000000167.14_Pih1d2,19.8049099915661,1.0000482422730212,0.6741127424163645,1.483502950394228,0.13794083315002587,0.2792024342828618,Pih1d2
ENSMUSG00000000168.9_Dlat,800.0310953345086,0.34371630454922875,0.16475895577109667,2.0861767601074233,0.03696261456283853,0.10372528908431033,Dlat
ENSMUSG00000000171.5_Sdhd,1357.34489620377,0.16631743198819054,0.11914990155416431,1.3958671372681275,0.16275450836915673,0.3138396888169444,Sdhd
ENSMUSG00000000184.12_Ccnd2,1075.0678530795444,-0.02312097311376947,0.11891448221490641,-0.19443361887565921,0.8458363681226175,0.9145889559173266,Ccnd2
ENSMUSG00000000194.13_Gpr107,926.0561477433473,0.24978507310616885,0.14583792186736624,1.7127580392522213,0.08675706263656474,0.19805355540599728,Gpr107
ENSMUSG00000000202.9_Btbd17,20.79824070322999,-0.3332228419187325,0.7615553960918758,-0.4375556179218928,0.66170844998422,0.7940684787450072,Btbd17
